,ttext,date,isretweet,retweetcount,favoritecount,score,product,city,country,duplicate
115,Some of Apple's new iPhone feature revealed in WWDC 2020 already has been used in Android phones. Apple is playing  ,6/24/2020 19:53,FALSE,0,0,0,Apple Iphone,Los Angeles,USA,FALSE
116,RT @iDropNews: @iDropNews is giving away a brand-new 64GB iPhone SE this August! Follow the link to earn your chances to win!  ,6/24/2020 19:50,TRUE,940,0,1,Apple Iphone,Los Angeles,USA,TRUE
117,"Only the Top Voted Artists will Advance to the @TrendCityRadio  Top40

App VOTES ONLY

Download our App Now &amp;  ",6/24/2020 19:23,FALSE,6,7,1,Apple Iphone,Los Angeles,USA,FALSE
118,How to set up your Mac and iPhone for texts and calls  ,6/24/2020 19:17,FALSE,0,0,0,Apple Iphone,Los Angeles,USA,FALSE
119,"While Apple has been working on backside iDevice Controls for over a decade, a Developer leak confirms it's coming  ",6/24/2020 19:16,FALSE,0,0,-1,Apple Iphone,Los Angeles,USA,FALSE
120,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/24/2020 19:09,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,TRUE
121,Apple AirPods Pro 3 with Charging Case air pod Earphone Original Bluetooth Headphone for iPhone 7 8 11 6S XS XR Plu  ,6/24/2020 18:31,FALSE,0,1,0,Apple Iphone,Los Angeles,USA,FALSE
122,"Im really pissed I bought an iPhone, I blame ALL yall for supporting gold covered trash. Apples products are shi  ",6/24/2020 18:29,FALSE,1,2,0,Apple Iphone,Los Angeles,USA,FALSE
123,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/24/2020 18:20,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,TRUE
124,RT @iDropNews: We're giving away another 64GB iPhone 11 to one lucky winner absolutely FREE. Follow the link and enter to win! Contest ends,6/24/2020 18:19,TRUE,3131,0,4,Apple Iphone,Los Angeles,USA,TRUE
125,"RT @iDropNews: We're giving away another FREE iPhone 11 Pro Max! Giveaway ends 10/20. ARV $1,099. Follow the link and enter to win!   ",6/24/2020 18:17,TRUE,2422,0,2,Apple Iphone,Los Angeles,USA,TRUE
126,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/24/2020 18:12,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,TRUE
127,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/24/2020 18:06,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,TRUE
128,RT @iDropNews: We're giving away another 64GB iPhone 11 to one lucky winner absolutely FREE. Follow the link and enter to win! Contest ends,6/24/2020 18:00,TRUE,3131,0,4,Apple Iphone,Los Angeles,USA,TRUE
129,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/24/2020 17:24,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,TRUE
130,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/24/2020 17:17,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,TRUE
131,"How to add lines and grids to a note in the Notes app on iPhone and iPad
-
 ",6/24/2020 17:03,FALSE,0,0,0,Apple Iphone,Los Angeles,USA,FALSE
132,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/24/2020 16:58,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,TRUE
133,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/24/2020 16:51,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,TRUE
134,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/24/2020 16:47,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,TRUE
135,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/24/2020 16:35,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,TRUE
136,RT @richontech: Here's a look at the new features coming soon to the iPhone with iOS 14  ,6/24/2020 16:34,TRUE,1,0,0,Apple Iphone,Los Angeles,USA,FALSE
137,"Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to  ",6/24/2020 16:34,FALSE,12,125,1,Apple Iphone,Los Angeles,USA,FALSE
138,Want to  win the long-awaited Apple iPhone SE2? @Gleamapp is giving away this amazing new upgrade to one lucky winn  ,6/24/2020 16:13,FALSE,0,0,3,Apple Iphone,Los Angeles,USA,FALSE
